line_no	original	zh_tw	類型	備註
1	Ackenheil	阿肯海爾	音譯
2	Adler	阿德勒	音譯
3	Arndt	阿恩特	音譯
4	Auerbacher	奧爾巴赫	音譯
5	Bachmann	巴赫曼	音譯
6	Balck	巴爾克	史實	Hermann Balck 裝甲兵上將
7	Bauer	鮑爾	音譯
8	Blucher	布呂歇爾	史實	拿破崙戰爭時代普魯士元帥,非二戰但極著名軍事姓氏,可能是刻意收錄的彩蛋
9	Braun	布勞恩	音譯
10	Brecht	布萊希特	音譯
11	Brunner	布魯納	音譯
12	Buchmann	布赫曼	音譯
13	Campenhausen	坎彭豪森	音譯
14	Carlburg	卡爾堡	音譯
15	Christmann	克里斯特曼	音譯
16	Cramer	克拉默	史實(存疑)	可能對應 Hans Cramer,北非軍團末代指揮官
17	Creutz	克羅伊茨	音譯
18	Dahrendorf	達倫多夫	音譯
19	Danneberg	丹納貝格	音譯
20	Daubler	多伊布勒	音譯
21	Decker	德克爾	史實(存疑)	可能對應 Karl Decker,裝甲兵上將
22	Dietzel	迪策爾	音譯
23	Dorner	德爾納	音譯
24	Eberhardt	埃伯哈特	音譯
25	Eigermann	艾格曼	音譯
26	Entemann	恩特曼	音譯
27	Erdmann	埃德曼	音譯
28	Fassbender	法斯賓達	音譯
29	Feuermann	費爾曼	音譯
30	Fischer	費雪	音譯
31	Fleischmann	弗萊施曼	音譯
32	Frieling	弗里林	音譯
33	Gabel	加貝爾	音譯
34	Gehrmann	蓋爾曼	音譯
35	Geissler	蓋斯勒	音譯
36	Goetz	戈茨	音譯
37	Gruber	格魯伯	音譯
38	Gruener	格律納	音譯
39	Hauser	豪瑟	音譯
40	Hausmann	豪斯曼	音譯
41	Herrmann	赫爾曼	音譯
42	Hilger	希爾格	音譯
43	Inmann	因曼	音譯
44	Jaeger	耶格爾	音譯
45	Jungen	永根	音譯
46	Kampfer	坎普費爾	音譯
47	Kepplers	凱普勒斯	音譯
48	Koch	柯霍	音譯
49	Kroegel	克羅格爾	音譯
50	Krueger	克魯格	音譯	姓氏常見,可能與多位真實軍官同名
51	Kurtz	庫爾茲	音譯
52	Liebermann	利伯曼	音譯
53	Lindner	林德納	音譯
54	Losch	勒施	音譯
55	Mahler	馬勒	音譯
56	Mauers	毛爾斯	音譯
57	Messer	梅瑟	音譯
58	Mittermann	米特曼	音譯
59	Model	莫德爾	史實	Walter Model 陸軍元帥
60	Mueller	穆勒	音譯
61	Nagel	納格爾	音譯
62	Neumann	諾伊曼	音譯
63	Niederberger	尼德貝格爾	音譯
64	Niemeyer	尼邁耶	音譯
65	Obermann	奧伯曼	音譯
66	Oldenburg	奧爾登堡	音譯
67	Osterwald	奧斯特瓦爾德	音譯
68	Oststein	奧斯特施泰因	音譯
69	Ottweiler	奧特魏勒	音譯
70	Pahner	帕納爾	音譯
71	Pausch	保施	音譯
