english	chinese
10" Coastal Battery	10吋 海岸砲台
10.5 leFH18	10.5 輕榴彈炮
105mm Gun	105mm 加農砲
105mm How	105mm 榴彈砲
105mm Type 14	105mm 14式加農砲
10cm Model 98	10cm 98式高射砲
12" Coastal Battery	12吋 海岸砲台
12" Coastal Mortar	12吋 海岸臼砲
12.2cm Gun	12.2cm 加農砲
120mm Gun	120mm 加農砲
120mm Type 10	120mm 10式加農砲
122mm Gun	122mm 加農砲
15 sFH 18	15 重榴彈砲
15.2cm Gun	15.2cm 加農砲
150mm Howitzer	150mm 榴彈砲
155mm Gun	155mm 加農砲
16" Coastal Battery	16吋 海岸砲台
17 K18	17 加農砲
17 Pdr ATG	17磅 反戰車砲
2 1/2 Ton Truck	2.5噸卡車
2 Pdr ATG	2磅 反戰車砲
20cm Rocket	20cm 火箭
20mm	20mm 機砲
20mm AA	20mm 高射砲
20mm SPAA	20mm 自走高射砲
25 Pdr Gun	25磅 加農砲
25mm ATG	25mm 反戰車砲
3 Tn Lorry	3噸卡車
3" AD	3吋 防空砲
3" ATG	3吋 反戰車砲
3" Coastal Battery	3吋 海岸砲台
3.7 FlaK 36	37mm高射炮
3.7 PaK35/36	3.7反戰車砲35/36
37 FlaKPz IV	家具車式防空戰車
37mm ATG	37mm 反戰車砲
4 Ho-Ro 150mm	4式 Ho-Ro 150mm自走砲
40mm AD	40mm 防空砲
40mm SPAD	40mm 自走防空砲
45cm Rocket	45cm 火箭
45mm ATG	45mm 反戰車砲
47mm ATG	47mm 反戰車砲
5 PaK38	50mm反戰車砲
5" Coastal Battery	5吋 海岸砲台
5.5" Gun	5.5吋 加農砲
57mm ATG	57mm 反戰車砲
57mm Recoilless	57mm 無後座力砲
6 Pdr ATG	6磅 反戰車砲
6" Coastal Battery	6吋 海岸砲台
6" Gun	6吋 加農砲
7.2" Gun	7.2吋 加農砲
7.5 PaK40	7.5反戰車砲40
7.5 leFk 16nA	7.5 步兵砲
7.6cm AD	7.6cm 防空砲
7.6cm Artillery	7.6cm 火砲
75mm AD	75mm 防空砲
75mm ATG	75mm 反戰車砲
75mm Artillery	75mm 火砲
75mm Gun	75mm 加農砲
75mm Model 88	75mm 88式高射砲
75mm Pack How	75mm 馱載榴彈砲
75mm Recoilless	75mm 無後座力砲
75mm SPAD	75mm 自走防空砲
76mm ATG	76mm 反戰車砲
7TP	7TP 輕戰車
8" Coastal Battery	8吋 海岸砲台
8" Gun	8吋 加農砲
8.8 FK18 ATG	88mm反戰車砲
8.8 FlaK 18	88mm高射砲
8.8 Pak43/41	88反戰車砲43/41
88mm	88mm 加農砲
90mm AD	90mm 防空砲
90mm Breda	90mm 布雷達防空砲
94 Mtn Gun 75mm	75mm 94式山砲
A-17A	A-17A 遊牧民
A-20 Havoc	A-20 浩劫
A-26 Invader	A-26 入侵者
A-C Midget	A-C 甲標的
A-I	A-I 潛艇
A5M Claude	A5M 克勞德
A6M Zero	A6M 零式
A6M2 Zero	A6M2 零式
AB-40	AB-40 偵查車
AB-41	AB-41 偵查車
AC I Sentinel	AC I 哨兵式戰車
AC III Sentinel	AC III 哨兵式戰車
AEC I	AEC I 裝甲車
AEC II	AEC II 裝甲車
AEC III	AEC III 裝甲車
AMC 35	AMC 35 騎兵戰車
AT Kamikazes	反戰車特攻隊
Achilles	阿基里斯號
Adua	阿杜阿號潛艇
Agano	阿賀野
Air Transport	空運機
Akagi	赤城
Alaska	阿拉斯加號
Albacore	長鰭鮪式
Algerie	阿爾及利亞號
Amazon	亞馬遜號
Amiot 143	Amiot 143 轟炸機
Aoba	青葉
Aoba 1944	青葉 1944
Archer	射手式驅逐戰車
Argonaute	阿爾戈瑙特號潛艇
Ark Royal	皇家方舟號
Arkhangelsk	阿爾漢格爾斯克號
Asashio	朝潮
Asashio 1944	朝潮 1944
Assault Infantry	突擊步兵
Atlanta	亞特蘭大號
Atlanta 1944	亞特蘭大號 1944
Attacker	攻擊者號
Aurore	曙光號潛艇
B	B 型堡壘
B-17F Flying Fort	B-17F 空中堡壘
B-17G Flying Fort	B-17G 空中堡壘
B-18A Bolo	B-18A 波洛
B-24D Liberator	B-24D 解放者
B-25B Mitchell	B-25B 米切爾
B-25H Mitchell	B-25H 米切爾
B-26C Marauder	B-26C 掠奪者
B-29 Super Fortress	B-29 超級空中堡壘
B1-bis	B1-bis 重戰車
B5N Kate	B5N 九七艦攻
B6N	B6N 天山
B7A Grace	B7A 流星
BA-10	BA-10 輕裝甲車
BA-64	BA-64 輕裝甲車
BA65	BA65 攻擊機
BF109e	BF109e 戰機
BF109f	BF109f 戰機
BF109g	BF109g 戰機
BF109k	BF109k 戰機
BF110e	BF110e 重戰機
BT-5	BT-5 快速戰車
BT-7	BT-7 快速戰車
Baby 25 Pdr	袖珍25磅砲
Balilla	巴利拉號潛艇
Baltimore	巴爾的摩號重巡洋艦
Bargut Cavalry	巴爾虎騎兵
Barracuda	梭魚式
Battle	戰鬥式
Bearn	貝亞恩號航空母艦
BeauFighter	英俊戰士式
Beaufort	博福特式
Bicycle Infantry	腳踏車步兵
Birmingham	伯明罕號輕巡洋艦
Birmingham 1945	伯明罕號 1945
Bismarck	俾斯麥號戰列艦
Blen MkI	Blen MkI 布倫海姆式
Bloch 174	Bloch 174 偵察機
Block House	碉堡
Bogue	博格號護航航空母艦
Boomerang	迴力鏢式
Bren Ca	Bren Ca 布倫運輸車
Bretagne	布列塔尼號戰列艦
Brin	布林號潛艇
Brooklyn	布魯克林號輕巡洋艦
Brooklyn 1944	布魯克林號 1944
Bunker	地堡
Burma Indep. Army	緬甸獨立軍
Burmese Infantry	緬甸步兵
C	C 型
C-47	C-47 運輸機
CA-15	CA-15 戰鬥機
CA310 Libeccio	CA310 西南風
CG-13A	CG-13A 滑翔機
CHk75A-1	CHk75A-1 鷹式
CL AMX R40	CL AMX R40 輕戰車
CR42	CR42 獵鷹式
Ca	Ca 型
Cagni	卡尼號潛艇
Caledon	卡利登號輕巡洋艦
California	加利福尼亞號戰列艦
Calvi	卡爾維號潛艇
Campania	坎帕尼亞號護航航空母艦
Capitani Romani	羅馬統帥號輕巡洋艦
Casablanca	卡薩布蘭卡號護航航空母艦
Cavour	加富爾號戰列艦
Centaur	半人馬號輕巡洋艦
Centauro	Centauro 人馬座
Challenger A30	Challenger A30 挑戰者
Church III	Church III 邱吉爾
Church VI	Church VI 邱吉爾
Church VII	Church VII 邱吉爾
Cleveland	克利夫蘭號輕巡洋艦
Cleveland 1943	克利夫蘭號 1943
Comet	Comet 彗星
Commencement Bay	康門斯灣號護航航空母艦
Communication HQ	通信總部
Condottieri	康多提耶里號輕巡洋艦
Corsair	Corsair 海盜式
Crdr II	Crdr II 十字軍
Crdr III	Crdr III 十字軍
Crom IV	Crom IV 克倫威爾
Crom VI	Crom VI 克倫威爾
Crom VII	Crom VII 克倫威爾
D1 1G	D1 1G 輕戰車
D3A Val	D3A 九九艦爆
D4Y Judy	D4Y 彗星
D520S	D520S 地瓦丁
DC-3	DC-3 運輸機
DO 217N	DO 217N 夜間戰鬥機
DO17z	飛行鉛筆 DO17z
DO217e	DO217e 轟炸機
DO335	天箭 DO335
Daimler SC	Daimler SC 戴姆勒裝甲車
Dakota	Dakota 達科塔式
De Ruyter	德魯伊特號輕巡洋艦
Deutschland	德意志號裝甲艦
Dido	狄多號輕巡洋艦
Dunkerque	敦克爾克號戰列艦
E.African Infantry	東非步兵
Eagle	鷹號航空母艦
Edinburgh	愛丁堡號輕巡洋艦
Emden	埃姆登號輕巡洋艦
Engineers 1943	工兵 1943
Engineers 1944	工兵 1944
Essex	埃塞克斯號航空母艦
F-DXX1	F-DXX1 福克
F2A Buffalo	F2A 水牛
F4-1 Fireball	F4-1 火球
F4F Wildcat	F4F 野貓
F4U Corsair	F4U 海盜
F6F Hellcat	F6F 地獄貓
F7F Tigercat	F7F 虎貓
F82G Twin Mustang	F82G 雙野馬
F8F Bearcat	F8F 熊貓
FFr Bretagne	FFr Bretagne 布列塔尼號戰列艦
FFr Chacal	FFr Chacal 豺狼號驅逐艦
FFr Jeanne D'Arc	FFr Jeanne D'Arc 貞德號輕巡洋艦
FFr Le Fantasque	FFr Le Fantasque 幻想號驅逐艦
FFr Minerve	法 密涅瓦
FFr Mtn Infantry	自法山地步兵
FFr Saphir	法 藍寶石
FFr Suffren	法 絮弗倫
FH-1 Phantom	FH-1 幽靈
FM2 Wildcat	FM2 野貓
FPO Paratroopers	波軍傘兵
FW 190a	百舌鳥 FW190a
FW 190d9	百舌鳥 FW190d9
FW190f	百舌鳥 FW190f
Fairey Firefly	費爾雷 螢火蟲
Fairey Fulmar	Fairey 富馬式
Fiat Truck	飛雅特卡車
Field Fortification	野戰防禦工事
Field Works	野戰工事
Fiji Guerrillas	斐濟游擊隊
FlaK38(4)	20mm 四聯裝高射砲
FlaKPz 38(t)	防空戰車38(t)
Foca	海豹
Fukuryu	伏龍
Fuso	扶桑
Fuso 1944	扶桑 1944
G3M Nell	G3M 九六式陸攻
G4M Betty	G4M 一式陸攻
GM Truck	GM 卡車
Gato	加托
Gearing	基靈
Giyugun	義勇軍
Glider	滑翔機
Gloster Gladiator	格洛斯特 格鬥士
Grumman FF1	格魯曼 FF1 雙翼戰鬥機
Guards Cavalry	近衛騎兵
Guards Infantry	近衛步兵
Gurkhas	廓爾喀兵
H6K Mavis	H6K 九七式飛行艇
H8K Emily	H8K 二式飛行艇
HE111 H2	He111 H2 轟炸機
HE162	沙羅曼蛇 HE162
HE177a	獅鷲 HE177a
HE219	夜梟 HE219
HW 1936	重武 1936
HW 1944	重武 1944
Haskell Class Transport	哈斯克爾級運輸艦
Helicopter	直升機
Henshel 33	亨舍爾33卡車
Hetzer	追獵者
Hipper	希佩爾
Ho-Ha 1 Halftrack	Ho-Ha 1 半履帶裝甲車
Ho-Ni 1	Ho-Ni 1 自走砲
Ho-Ni 2	Ho-Ni 2 自走砲
Ho-Ni 3	Ho-Ni 3 驅逐戰車
Hohei 1940	步兵 1940
Hohei 1943	步兵 1943
