scen	en	zh	historical_note
ADMRISL	Admiralty Islands	海軍部群島	俾斯麥群島東北,1944-02 麥克阿瑟登陸
AUSTRAL	Australia	澳洲	假想:日軍南進本土
BURMA42	Burma 1942	緬甸 1942	日軍南方作戰緬甸戰役
CCHINA	Central China	華中	抗戰時期武漢會戰區
CHUNKNG	Chungking	重慶	國民政府陪都保衛戰
CORONET	Coronet	冠冕作戰	沒收行動 (Downfall) 之關東登陸,1946 春 (未實施)
DUTCH	Dutch East Indies	荷屬東印度	今印尼,1942 日軍南進奪取油田
FRISCO	San Francisco 1944	舊金山 1944	假想:日軍反攻美西
GUADCNL	Guadalcanal	瓜達康納爾	所羅門群島 1942-08 至 1943-02
GUINEA	New Guinea 1942	新幾內亞 1942	南太平洋戰場
HALHA	Halha River	哈拉哈河	1939 諾門罕事件
HAWAI44	Hawaii 1944	夏威夷 1944	假想:日軍反攻珍珠港
INDIA	India	印度	1944 英帕爾作戰
IWOJIMA	Iwo Jima	硫磺島	1945-02 至 03 美軍登陸
LANDTUT	Peking Tutorial	北平教學	陸戰教學關
LYTEGLF	Leyte Gulf	雷伊泰灣	1944-10 史上最大海戰
MALAY	Singapore	新加坡	1942-02 日軍攻陷,英軍投降
MIDINVA	Midway Invasion	中途島登陸	假想:日軍佔領中途島
MIDWAY	Midway	中途島	1942-06 太平洋戰場轉捩點
MIDWEST	Midwest America 1945	美國中西部 1945	假想:日軍反攻美國本土
MRNAISL	Mariana Islands	馬里亞納群島	1944 塞班島、關島戰役
MRSLISL	Marshall Islands	馬紹爾群島	1944-01 至 02 美軍登陸
NAVTUT	Naval Tutorial	海戰教學	海戰教學關
OKINAWA	Okinawa	沖繩	1945-04 至 06 美軍登陸
OLYMPIC	Olympic	奧林匹克作戰	沒收行動之九州登陸,1945-11 (未實施)
PEARL41	Pearl Harbor 1941	珍珠港 1941	1941-12-07 日軍偷襲
PERSIA	Persia	波斯	假想:太平洋戰爭延伸中東
PHILL41	Philippines 1941	菲律賓 1941	日軍南方作戰菲律賓戰役
PHILL44	Philippines 1945	菲律賓 1945	美軍反攻菲律賓,馬尼拉戰役
PHILSEA	Philippine Sea	菲律賓海	1944-06 馬里亞納海戰
SECHINA	Southeast China	華南	抗戰時期廣州、香港區
SLMNISL	Solomon Islands	所羅門群島	瓜達康納爾之後南太平洋戰場
TARAWA	Tarawa	塔拉瓦	1943-11 美軍登陸,吉爾伯特群島
