檔類	original	zh_tw	來源/備註
GUI97	Austria	奧地利	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Belgium	比利時	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Bulgaria	保加利亞	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Czechoslovakia	捷克斯洛伐克	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Denmark	丹麥	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Finland	芬蘭	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	France	法國	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Germany	德國	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Greece	希臘	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	USA	美國	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Hungary	匈牙利	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Turkey	土耳其	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Italy	義大利	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Netherlands	荷蘭	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Norway	挪威	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Poland	波蘭	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Portugal	葡萄牙	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Romania	羅馬尼亞	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Spain	西班牙	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Russia	俄國	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Sweden	瑞典	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Switzerland	瑞士	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	United Kingdom	英國	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Yugoslavia	南斯拉夫	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Nationalist	國民軍	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Republican	共和軍	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Axis	軸心國	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Allied	同盟國	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Brilliant Victory	輝煌勝利	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Victory	勝利	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Tactical Victory	戰術勝利	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Loss	落敗	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Panzer General II	裝甲元帥II	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Next Unit	下一單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Cancel Move	取消移動	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Mount - Dismount	上車-下車	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Embark - Disembark	登船-下船	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Supply	補給	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Replacements	補充兵	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Requisition Unit	徵用單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Field Headquarters	野戰指揮部	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Air Mode	航空模式	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Strategic Map	戰略地圖	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Game Functions	遊戲功能	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Additional Options	附加選項	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Chat	聊天	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	How To Play The Game	遊戲玩法說明	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	End Turn	結束回合	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Dossier	戰績檔案	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show Hexsides	顯示六角邊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Audio Settings	音效設定	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Play By EMail	電子郵件對戰	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	VCR	錄放影	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Replay Turn	重播本回合	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Full Screen	全螢幕	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show Terrain	顯示地形	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Exit Game	離開遊戲	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
