檔類	original	zh_tw	來源/備註
SCENARIO_BRIEF	Arracourt	阿拉庫爾	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	September 8, 1944	1944 年 9 月 8 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	With the Germans falling back in disarray after Falaise, the Allied forces try to secure Nancy as a springboard for the fall offensive into Germany itself.  Meanwhile, the Germans rush up new and refitted armored formations to stop the Allied onslaught."	"	法萊斯戰役後德軍潰退,盟軍試圖奪取南錫,作為秋季攻入德國本土的跳板。與此同時,德軍緊急調來新編與整補後的裝甲部隊,企圖阻止盟軍攻勢。"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	2 Players	2 位玩家	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	16 Turns	16 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Invasion Salerno	薩雷諾防禦戰	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	September 11, 1943	1943 年 9 月 11 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	At the same time the Allies are establishing a foothold near Salerno, German forces are trying to push the Allied invasion back out to sea.	盟軍在薩雷諾附近建立灘頭堡的同時,德軍正試圖將盟軍登陸部隊逐回海裡。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Two Player	2 位玩家	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	13 Turns	13 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Avalanche	雪崩作戰	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	August 9, 1943	1943 年 8 月 9 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	The Invasion of Italy"	"	義大利入侵戰"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	A properly planned amphibious assault, supported by massive naval gunfire, was difficult if not impossible to repel. At Salerno, the Germans, who didn't know this, almost crushed the beachhead and might have done so with just slightly better luck."	"	一場規劃周密、又有強大艦砲支援的兩棲登陸作戰,幾乎不可能被擊退。但在薩雷諾,不明就裡的德軍幾乎把灘頭堡打垮,只要運氣再好一點,或許就能得手。"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	22 Turns	22 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Caen - Operation Goodwood	卡昂-古德伍德作戰	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	July 17, 1944	1944 年 7 月 17 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	After partial success in capturing Caen, the British attempt to push the Germans out of Caen and breakout of Normandy."	"	在部分奪取卡昂後,英軍試圖將德軍徹底逐出卡昂,突破諾曼第防線。"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Cauldron	大鍋	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	June 5, 1942	1942 年 6 月 5 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	The British attempt to smash Rommel's armor south of Tobruk.  Rommel launches a counter-attack in the afternoon.  By sunset, every British unit trying to get to the ""Cauldron"" has been driven back."	"	英軍試圖在托布魯克以南擊潰隆美爾的裝甲部隊。隆美爾於當日下午發動反擊。到日落時,所有試圖進入「大鍋」地帶的英軍部隊都被擊退。"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	Can you do better than the British 8th Army?"	"	你能做得比英國第 8 軍團更好嗎?"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	6 Turns	6 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
