檔案	估計dense2byte大小(bytes)	上限(bytes)	狀態
A.TXT	178	32768	OK
AS.TXT	121	32768	OK
AV.TXT	201	32768	OK
C1.TXT	121	32768	OK
CAULD.TXT	202	32768	OK
CH1.TXT	184	32768	OK
CIECH.TXT	133	32768	OK
DES.TXT	167	32768	OK
DES1.TXT	150	32768	OK
DES3.TXT	150	32768	OK
DTR10I.TXT	285	32768	OK
DTR11BV.TXT	162	32768	OK
DTR11V.TXT	141	32768	OK
DTR12L.TXT	110	32768	OK
DTR13I.TXT	187	32768	OK
DTR14BV.TXT	112	32768	OK
DTR14V.TXT	118	32768	OK
DTR15L.TXT	118	32768	OK
DTR16I.TXT	225	32768	OK
DTR17BV.TXT	202	32768	OK
DTR18V.TXT	114	32768	OK
DTR19L.TXT	152	32768	OK
DTR1I.TXT	203	32768	OK
DTR2BV.TXT	107	32768	OK
DTR2V.TXT	107	32768	OK
DTR3L.TXT	119	32768	OK
DTR4I.TXT	190	32768	OK
DTR5BV.TXT	105	32768	OK
DTR5V.TXT	101	32768	OK
DTR6L.TXT	143	32768	OK
DTR7I.TXT	240	32768	OK
DTR8BV.TXT	123	32768	OK
DTR8V.TXT	94	32768	OK
DTR9L.TXT	168	32768	OK
DUNKIRK.TXT	101	32768	OK
FF.TXT	106	32768	OK
GC.TXT	175	32768	OK
GE10MV.TXT	125	32768	OK
GE11L.TXT	105	32768	OK
GE12I.TXT	171	32768	OK
GE13BV.TXT	137	32768	OK
GE13V.TXT	87	32768	OK
GE14MV.TXT	98	32768	OK
GE15L.TXT	71	32768	OK
GE16I.TXT	269	32768	OK
GE17I.TXT	357	32768	OK
GE18I.TXT	345	32768	OK
GE19BV.TXT	161	32768	OK
GE19V.TXT	161	32768	OK
GE1I.TXT	277	32768	OK
GE20MV.TXT	133	32768	OK
GE21L.TXT	80	32768	OK
GE22I.TXT	228	32768	OK
GE23BV.TXT	67	32768	OK
GE24V.TXT	79	32768	OK
GE25MV.TXT	127	32768	OK
GE26L.TXT	69	32768	OK
GE27I.TXT	207	32768	OK
GE28BV.TXT	169	32768	OK
GE28MV.TXT	111	32768	OK
GE28V.TXT	151	32768	OK
GE29L.TXT	112	32768	OK
GE2BV.TXT	162	32768	OK
GE2MV.TXT	123	32768	OK
GE2V.TXT	156	32768	OK
GE30I.TXT	136	32768	OK
GE31BV.TXT	107	32768	OK
GE31V.TXT	94	32768	OK
GE32MV.TXT	139	32768	OK
GE33L.TXT	120	32768	OK
GE34I.TXT	146	32768	OK
GE35BV.TXT	132	32768	OK
GE35V.TXT	105	32768	OK
GE36MV.TXT	159	32768	OK
GE37L.TXT	109	32768	OK
GE38I.TXT	168	32768	OK
GE39BV.TXT	154	32768	OK
GE3L.TXT	212	32768	OK
GE40MV.TXT	67	32768	OK
GE40V.TXT	86	32768	OK
GE41L.TXT	76	32768	OK
GE42I.TXT	157	32768	OK
GE43BV.TXT	130	32768	OK
GE44V.TXT	121	32768	OK
GE45MV.TXT	120	32768	OK
GE46L.TXT	51	32768	OK
GE47I.TXT	254	32768	OK
GE48I.TXT	254	32768	OK
GE49BV.TXT	156	32768	OK
GE4I.TXT	311	32768	OK
GE50MV.TXT	119	32768	OK
GE50V.TXT	143	32768	OK
GE51L.TXT	91	32768	OK
GE52I.TXT	193	32768	OK
GE53BV.TXT	140	32768	OK
GE54V.TXT	146	32768	OK
GE55MV.TXT	158	32768	OK
GE56L.TXT	138	32768	OK
GE57I.TXT	163	32768	OK
GE58BV.TXT	125	32768	OK
GE59V.TXT	105	32768	OK
GE5BV.TXT	121	32768	OK
GE5V.TXT	117	32768	OK
GE60MV.TXT	264	32768	OK
GE61L.TXT	104	32768	OK
GE62I.TXT	126	32768	OK
GE63BV.TXT	176	32768	OK
GE64V.TXT	155	32768	OK
GE65MV.TXT	140	32768	OK
GE66L.TXT	69	32768	OK
GE67I.TXT	256	32768	OK
GE68BV.TXT	125	32768	OK
GE69V.TXT	106	32768	OK
GE6L.TXT	152	32768	OK
GE6MV.TXT	169	32768	OK
GE70MV.TXT	151	32768	OK
GE71L.TXT	176	32768	OK
GE72I.TXT	308	32768	OK
GE73BV.TXT	246	32768	OK
GE74V.TXT	246	32768	OK
GE75MV.TXT	140	32768	OK
GE76L.TXT	137	32768	OK
GE7I.TXT	323	32768	OK
GE8BV.TXT	126	32768	OK
GE9V.TXT	124	32768	OK
GEN.TXT	96	32768	OK
GENCON.TXT	96	32768	OK
GENCONA.TXT	97	32768	OK
GERMAN1.TXT	117	32768	OK
GERMAN2.TXT	329	32768	OK
K.TXT	77	32768	OK
KD.TXT	123	32768	OK
KL.TXT	106	32768	OK
KV.TXT	118	32768	OK
L.TXT	112	32768	OK
LD.TXT	84	32768	OK
M.TXT	381	32768	OK
MO.TXT	240	32768	OK
MO3.TXT	221	32768	OK
MZ.TXT	83	32768	OK
N.TXT	86	32768	OK
ND.TXT	215	32768	OK
O.TXT	100	32768	OK
PROK.TXT	110	32768	OK
PURSUIT.TXT	83	32768	OK
RACE.TXT	81	32768	OK
RU45I.TXT	357	32768	OK
RU46BV.TXT	154	32768	OK
RU46V.TXT	151	32768	OK
RU47MV.TXT	90	32768	OK
RU48L.TXT	126	32768	OK
RU49I.TXT	113	32768	OK
RU50BV.TXT	98	32768	OK
RU50V.TXT	82	32768	OK
RU51MV.TXT	137	32768	OK
RU52L.TXT	132	32768	OK
RU53I.TXT	192	32768	OK
RU54BV.TXT	140	32768	OK
RU54V.TXT	120	32768	OK
RU55MV.TXT	140	32768	OK
RU56L.TXT	177	32768	OK
RU57I.TXT	156	32768	OK
RU58BV.TXT	162	32768	OK
RU58V.TXT	143	32768	OK
