scen	year	zh_name	era	brief_zh
Poland	1939-09	波蘭戰役	開戰	德軍閃電戰首次登場,九月一日凌晨越境,配合斯圖卡俯衝轟炸機癱瘓波蘭空軍,兩週攻陷華沙。
Warsaw	1939-09	華沙	開戰	波蘭戰役收尾,德軍第八軍團圍攻華沙,史達林同時從東部進逼,九月二十七日守軍投降。
Norway	1940-04	挪威戰役	開戰	德軍搶英軍先手佔挪威港口確保瑞典鐵礦運輸,首度大規模空降 + 海軍登陸協同,納爾維克血戰。
Low Countries	1940-05	低地國家	開戰	德軍越比荷盧邊境繞開馬奇諾防線,傘兵奇襲埃本埃美爾要塞,五天內荷蘭投降。
France	1940-05	法蘭西戰役	開戰	曼施泰因鐮刀計畫,古德里安裝甲軍穿越阿登森林,五月十三日渡默茲河,將英法聯軍逼進敦克爾克。
Sealion (40)	1940-08	海獅計畫 (1940)	開戰	架空:若戈林空襲在不列顛之戰得勝,德軍搶灘英國東南岸。史實中因空軍失利而取消。
Balkans	1941-04	巴爾幹戰役	開戰	德軍為固東南翼、支援義軍南進希臘,四月六日同時攻南斯拉夫與希臘,十天內兩國俱亡。
Crete	1941-05	克里特島空降	開戰	史上首次戰略級空降作戰。德軍第 7 傘兵師拿下馬里美機場,英軍撤守。傷亡慘重使希特勒禁再用大規模空降。
Barbarossa	1941-06	巴巴羅薩	東線	德軍 300 萬人分北中南三軍集群入侵蘇聯,六月二十二日凌晨開戰,四個月推進到莫斯科郊外。
Kiev	1941-09	基輔合圍	東線	古德里安裝甲軍南轉合圍基輔,俘蘇軍 66 萬,史上最大合圍戰之一,卻延後了莫斯科攻勢。
Moscow (41)	1941-11	莫斯科 (1941)	東線	颱風作戰,德軍推進至莫斯科郊外 25 公里。冬季提早、朱可夫組織反攻,十二月成功將德軍逼退。
Early Moscow	1941-10	早期莫斯科	東線	假設:德軍若在秋季泥濘期前直取莫斯科的架空情境。史實中因基輔轉向而延誤。
Moscow (42)	1942-04	莫斯科 (1942)	東線	架空:1941 未攻下後 1942 春季重啟。史實中德軍改南下奪取高加索油田。
Sevastopol	1942-06	塞瓦斯托波爾	東線	曼施泰因第 11 軍團圍攻黑海要塞。動用世界最大攻城砲「多拉」80 公分列車砲,守軍五個月抗擊後失守。
Kharkov	1942-05	哈爾科夫	東線	蘇軍發動反攻遭德軍反包圍,俘 24 萬。曼施泰因的「反手一擊」典範戰役,阻遏蘇軍南部攻勢。
Caucasus	1942-07	高加索攻勢	東線	藍色作戰南翼,德軍衝向巴庫油田,推進至厄爾布魯士山區。史達林格勒血戰把主力吸走,終未達油田。
Stalingrad	1942-08	史達林格勒	東線	保盧斯第 6 軍團陷伏爾加河巷戰。十一月天王星作戰蘇軍反包圍,1943 年 2 月保盧斯投降,東線轉捩點。
Kursk	1943-07	庫斯克	東線	堡壘作戰,德軍南北鉗形攻勢對蘇軍突出部。史上最大裝甲會戰,普羅霍羅夫卡對峙,德軍未突破放棄戰略主動。
Moscow (43)	1943-08	莫斯科 (1943)	東線	架空:庫斯克後德軍勉力北攻莫斯科。史實中德軍轉守。
Sealion (43)	1943-08	海獅計畫 (1943)	東線	架空:若東線得手轉頭渡海攻英。史實不可能,盟軍已掌握制空與大西洋反潛戰。
Sealion Plus	1943-09	海獅加強版	東線	架空延伸:大規模登陸作戰情境。SSI 給玩家 what-if 選項。
Byelorussia	1944-06	白俄羅斯	東線	巴格拉基昂作戰,蘇軍摧毀中央集團軍。三年前德軍佔領路線倒著走,兩個月推進 600 公里到華沙近郊。
Budapest	1944-12	布達佩斯圍城	東線	蘇軍第 2、第 3 烏克蘭方面軍圍匈牙利首都。史達林格勒式巷戰持續 50 天,1945 年 2 月失守。
North Africa	1940-09	北非開場	西線	義軍格拉齊亞尼從利比亞進攻埃及英軍,兵敗如山倒。次年二月隆美爾德意志非洲軍團登陸增援。
Tobruk	1941-04	托布魯克圍城	西線	德意軍圍攻利比亞港,澳軍第 9 師與英軍守 240 天。1942 年 6 月隆美爾終佔,獲元帥軍銜。
El Alamein	1942-10	阿拉曼	西線	蒙哥馬利第 8 軍團擋下隆美爾東進埃及,再反擊。11 月 4 日德意軍崩潰,北非轉捩點。
Middle East	1942-08	中東	西線	架空:德軍若突破埃及進攻巴勒斯坦、伊拉克油田。史實中阿拉曼阻遏。
Torch	1942-11	火炬作戰	西線	盟軍登陸法屬摩洛哥、阿爾及利亞,首次大規模三軍聯合渡海。開闢北非西翼,合圍非洲軍團。
Husky	1943-07	西西里 (Husky)	西線	盟軍登陸西西里,巴頓第 7 軍團與蒙哥馬利第 8 軍團賽跑攻墨西拿。導致墨索里尼倒台。
Anzio	1944-01	安濟奧登陸	西線	盟軍搶灘義大利中部繞開古斯塔夫防線。凱瑟林迅速合圍,四個月僵持,傷亡慘重。
D-Day	1944-06	諾曼第登陸	西線	大君主作戰,盟軍 15 萬人登陸諾曼第五灘。有史以來最大海空聯合登陸,西線第二戰場開啟。
Cobra	1944-07	眼鏡蛇作戰	西線	諾曼第突圍戰。巴頓第 3 軍團從聖洛突破德軍防線,兩週內橫掃法國北部。
Anvil	1944-08	鐵砧作戰	西線	盟軍在法國南部普羅旺斯海岸登陸,配合諾曼第將德軍夾擊。三週內解放羅納河谷。
Market-Garden	1944-09	市場花園	西線	蒙哥馬利空降 + 裝甲奪取荷蘭橋梁企圖繞開齊格菲防線。阿納姆之橋失利,聯合國空降師傷亡慘重。
Ardennes	1944-12	阿登反擊 (突出部)	西線	德軍最後大反攻。冒惡劣天氣裝甲部隊沿阿登森林突入,包圍巴斯托涅美軍傘兵師。一月初盟軍反擊填平缺口。
Berlin	1945-04	柏林戰役	西線	蘇軍朱可夫、科涅夫、羅科索夫斯基三方面軍會師柏林。四月 30 日希特勒自盡,五月 2 日城陷。
Berlin (East)	1945-04	柏林 (東方)	西線	架空:若德軍能守住東線更久,西線盟軍先入柏林的情境。
Berlin (West)	1945-04	柏林 (西方)	西線	架空:艾森豪威爾未同意的「盟軍搶先入柏林」情境。史實中西進停於易北河。
Washington	1946-01	華盛頓	架空	若德軍贏了歐戰、跨大西洋登陸美國東岸的架空終局。SSI 給玩家的「終極勝利」情境。
